,Marcap,Pct,Cate
2024-01-22,9866193220457,3.6290491930943247,가정용기기와용품
2024-01-23,9997573522117,1.3316210084715285,가정용기기와용품
2024-01-24,10070258377215,0.7270249619790725,가정용기기와용품
2024-01-25,9904395540140,-1.6470564196275461,가정용기기와용품
2024-01-26,10376907247976,4.770727359595339,가정용기기와용품
2024-01-29,10297070484294,-0.7693695411758794,가정용기기와용품
2024-01-30,10004777011310,-2.8386080626507493,가정용기기와용품
2024-01-31,9776464765868,-2.282032324997374,가정용기기와용품
2024-02-01,9899685253920,1.2603787872502936,가정용기기와용품
2024-02-02,10451552229424,5.574591124353945,가정용기기와용품
2024-02-05,10858394992111,3.8926539690594897,가정용기기와용품
2024-02-06,10869732791980,0.10441506205325357,가정용기기와용품
2024-02-07,11556661313657,6.319644970332994,가정용기기와용품
2024-02-08,11620879909421,0.5556846741550769,가정용기기와용품
2024-01-02,562536094059,,가정용품
2024-01-03,568215363367,1.009583094841271,가정용품
2024-01-04,561721115953,-1.142920067405051,가정용품
2024-01-05,566964654195,0.9334771460574265,가정용품
2024-01-08,560709726562,-1.1032306135346337,가정용품
2024-01-09,564608632101,0.6953518646637624,가정용품
2024-01-10,558366914432,-1.1054945521774218,가정용품
2024-01-11,564766520279,1.1461291279247776,가정용품
2024-01-12,557271422313,-1.3271144263823142,가정용품
2024-01-15,560075428634,0.5031670759935603,가정용품
2024-01-16,560450455973,0.06696014854903343,가정용품
2024-01-17,557216789285,-0.5769763684795315,가정용품
2024-01-18,561008250165,0.6804283275213319,가정용품
2024-01-19,568302112391,1.3001345744656723,가정용품
2024-01-22,569497950122,0.21042289038286643,가정용품
2024-01-23,568218022648,-0.2247466340705495,가정용품
2024-01-24,557197957694,-1.9394078531061898,가정용품
2024-01-25,557900136044,0.12601954840358864,가정용품
2024-01-26,553911710397,-0.7148995652306978,가정용품
2024-01-29,547758774656,-1.1108152482622313,가정용품
2024-01-30,548759096618,0.1826208923130901,가정용품
2024-01-31,550581297602,0.3320584561112838,가정용품
2024-02-01,556331715205,1.0444266138434743,가정용품
2024-02-02,553512288871,-0.5067887120116965,가정용품
2024-02-05,554893867409,0.24960214357987454,가정용품
2024-02-06,549577448059,-0.9580966131098712,가정용품
2024-02-07,549846580098,0.04897072104224076,가정용품
2024-02-08,566357082321,3.0027470972098014,가정용품
2024-01-02,4441163094555,,건강관리기술
2024-01-03,4289663766155,-3.4112534301148023,건강관리기술
