,category,name,code
163,전자파,상신전자,263810
164,전자파,프로텍,053610
165,전자파,동일기연,032960
166,전자파,아모텍,052710
167,전자파,성우전자,081580
168,전자파,다산솔루에타,154040
169,전자파,레몬,294140
170,전자파,잉크테크,049550
171,LCD장비,참엔지니어링,009310
172,LCD장비,디아이티,110990
173,LCD장비,테크윙,089030
174,LCD장비,넥스트아이,137940
175,LCD장비,탑엔지니어링,065130
176,LCD장비,주성엔지니어링,036930
177,LCD장비,에스티아이,039440
178,LCD장비,브이원텍,251630
179,LCD장비,피엔티,137400
180,LCD장비,로보스타,090360
181,LCD장비,HB테크놀러지,078150
182,LCD장비,에스엔유,080000
183,LCD장비,디이엔티,079810
184,LCD장비,HB솔루션,297890
185,LCD장비,베셀,177350
186,LCD장비,신성이엔지,011930
187,LCD장비,케이씨텍,281820
188,LCD장비,엘오티베큠,083310
189,LCD장비,티로보틱스,117730
190,LCD장비,케이엔제이,272110
191,LCD장비,한양이엔지,045100
192,LCD장비,아바코,083930
193,LCD장비,예스티,122640
194,LCD장비,원익IPS,240810
195,LCD장비,AP시스템,265520
196,LCD장비,상아프론테크,089980
197,LCD장비,DMS,068790
198,LCD장비,에스에프에이,056190
199,LCD장비,미래컴퍼니,049950
200,LCD장비,톱텍,108230
201,LCD장비,윈텍,320000
202,LCD장비,디에스케이,109740
203,LCD장비,아이씨디,040910
204,LCD장비,동아엘텍,088130
205,LCD장비,피엔티엠에스,257370
206,LCD장비,스마트솔루션즈,136510
207,LCD장비,이엘피,063760
208,LCD장비,씨앤지하이테크,264660
209,LCD장비,로체시스템즈,071280
210,LCD장비,제우스,079370
211,LCD장비,포인트엔지니어링,256630
212,LCD장비,비아트론,141000
213,LCD장비,인베니아,079950
214,LCD장비,제이스텍,090470
215,터치패널(스마트폰/태블릿PC 등),이미지스,115610
216,터치패널(스마트폰/태블릿PC 등),에코볼트,097780
217,터치패널(스마트폰/태블릿PC 등),미래나노텍,095500
218,터치패널(스마트폰/태블릿PC 등),토비스,051360
219,터치패널(스마트폰/태블릿PC 등),베셀,177350
220,터치패널(스마트폰/태블릿PC 등),유아이디,069330
221,터치패널(스마트폰/태블릿PC 등),하이딥,365590
222,터치패널(스마트폰/태블릿PC 등),파인텍,131760
223,터치패널(스마트폰/태블릿PC 등),일진디스플,020760
224,반도체 장비,한미반도체,042700
225,반도체 장비,디아이티,110990
226,반도체 장비,네오셈,253590
227,반도체 장비,티에프이,425420
228,반도체 장비,테크윙,089030
229,반도체 장비,HPSP,403870
230,반도체 장비,에이팩트,200470
231,반도체 장비,아이엠티,451220
232,반도체 장비,피에스케이홀딩스,031980
233,반도체 장비,탑엔지니어링,065130
234,반도체 장비,펨트론,168360
235,반도체 장비,와이아이케이,232140
236,반도체 장비,주성엔지니어링,036930
237,반도체 장비,에스티아이,039440
238,반도체 장비,엑시콘,092870
239,반도체 장비,오로스테크놀로지,322310
240,반도체 장비,하나마이크론,067310
241,반도체 장비,SFA반도체,036540
242,반도체 장비,저스템,417840
243,반도체 장비,레이저쎌,412350
244,반도체 장비,리노공업,058470
245,반도체 장비,네패스아크,330860
246,반도체 장비,프로이천,321260
247,반도체 장비,인텍플러스,064290
248,반도체 장비,로보스타,090360
249,반도체 장비,제너셈,217190
250,반도체 장비,피에스케이,319660
251,반도체 장비,케이엔솔,053080
252,반도체 장비,유니셈,036200
253,반도체 장비,이오테크닉스,039030
254,반도체 장비,러셀,217500
255,반도체 장비,신성이엔지,011930
256,반도체 장비,디아이,003160
257,반도체 장비,케이씨텍,281820
258,반도체 장비,제이티,089790
259,반도체 장비,더코디,224060
260,반도체 장비,엘오티베큠,083310
261,반도체 장비,네온테크,306620
262,반도체 장비,에이피티씨,089970
263,반도체 장비,한양이엔지,045100
264,반도체 장비,유진테크,084370
265,반도체 장비,기가비스,420770
266,반도체 장비,넥스틴,348210
267,반도체 장비,예스티,122640
268,반도체 장비,프로텍,053610
269,반도체 장비,코세스,089890
270,반도체 장비,유니테스트,086390
271,반도체 장비,아스플로,159010
272,반도체 장비,원익IPS,240810
273,반도체 장비,AP시스템,265520
274,반도체 장비,미래산업,025560
275,반도체 장비,지앤비에스 에코,382800
276,반도체 장비,서진시스템,178320
277,반도체 장비,라온테크,232680
278,반도체 장비,에스에프에이,056190
279,반도체 장비,디바이스이엔지,187870
280,반도체 장비,오션브릿지,241790
281,반도체 장비,테스,095610
282,반도체 장비,기가레인,049080
283,반도체 장비,위드텍,348350
284,반도체 장비,티에스이,131290
285,반도체 장비,코미코,183300
286,반도체 장비,서플러스글로벌,140070
287,반도체 장비,파크시스템스,140860
288,반도체 장비,성우테크론,045300
289,반도체 장비,워트,396470
290,반도체 장비,고영,098460
291,반도체 장비,씨앤지하이테크,264660
292,반도체 장비,자비스,254120
293,반도체 장비,로체시스템즈,071280
294,반도체 장비,원익홀딩스,030530
295,반도체 장비,제우스,079370
296,반도체 장비,제이엔비,452160
297,반도체 장비,성도이엔지,037350
298,반도체 장비,싸이맥스,160980
299,반도체 장비,티씨케이,064760
300,반도체 장비,포인트엔지니어링,256630
301,반도체 장비,엔투텍,227950
302,반도체 장비,에프에스티,036810
303,반도체 장비,제이스텍,090470
304,반도체 장비,그린리소스,402490
305,반도체 장비,GST,083450
306,반도체 장비,팸텍,271830
307,반도체 장비,알에스오토메이션,140670
308,초전도체,씨씨에스,066790
309,초전도체,고려제강,002240
310,초전도체,탑엔지니어링,065130
311,초전도체,파워로직스,047310
312,초전도체,인지디스플레,037330
313,초전도체,한양이엔지,045100
314,초전도체,원익피앤이,217820
315,초전도체,아모텍,052710
